Event Description,Year,outage_start_date,power_supplier,location,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,duration,state,outage_type
Load Shed,2011,7/22/2011,PJM Interconnection,Ohio,RFC,206,"23,000",load shedding,5.866666666666666,Ohio,Load Shedding
Public Appeal to Reduce Electricity Usage,2011,7/21/2011,City Water Light and Power,Illinois,SERC,,,public appeal,2.0,Illinois,Public Appeal
Public Appeal to Reduce Electricity Usage,2011,7/21/2011,Consumers Energy,Michigan,RFC,"8,881",,public appeal,17.966666666666665,Michigan,Public Appeal
Vandalism,2011,7/20/2011,Tacoma Power (TPWR),Washington,WECC,,,vandalism,7.333333333333333,Washington,Physical Attack
Vandalism,2011,7/19/2011,Central Maine Power Company,Maine,NPCC,,,vandalism,3.25,Maine,Physical Attack
Severe Weather,2011,7/18/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,,"197,166",severe weather,140.5,Michigan,Severe Weather
Public Appeal to Reduce Electricity Usage,2011,7/14/2011,ERCOT ISO,Texas,TRE,0,0,public appeal,8.0,Texas,Public Appeal
Load Shed,2011,7/13/2011,Public Service Company of Colorado,Colorado,WECC,580,,load shedding,4.733333333333333,Colorado,Load Shedding
Suspected Physical Attack,2011,7/12/2011,Gen On,California,WECC,UNK,UNK,"vandalism, physical",1.1666666666666667,California,Physical Attack
Vandalism,2011,7/12/2011,Central Maine Power Company,Maine,NPCC,,0,vandalism,0.0,Maine,Physical Attack
Severe Weather,2011,7/11/2011,American Electric Power (AEP),Ohio,RFC,UNK,"120,000",severe weather,25.383333333333333,Ohio,Severe Weather
Vandalism,2011,7/11/2011,Central Maine Power Company,Maine,NPCC,,0,vandalism,0.0,Maine,Physical Attack
Vandalism,2011,7/11/2011,Duke Energy,Ohio,RFC,0,0,vandalism,0.0,Ohio,Physical Attack
Severe Weather,2011,7/11/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,254,"103,000",severe weather,1.4166666666666667,Michigan,Severe Weather
Severe Weather,2011,7/11/2011,Exelon Corporation/ComEd,Illinois,RFC,UNK,"500,000",severe weather,0.0,Illinois,Severe Weather
Severe Weather,2011,7/11/2011,Consumers Energy,Michigan,RFC,UNK,"85,000",severe weather,21.0,Michigan,Severe Weather
Vandalism,2011,7/8/2011,Minnesota Power,Minnesota,MRO,0,0,vandalism,0.0,Minnesota,Physical Attack
Suspected Cyber Attack,2011,7/8/2011,PJM Interconnection,Pennsylvania,RFC,UNK,UNK,"vandalism, cyber",71.0,Pennsylvania,Cyber Events
Vandalism,2011,7/6/2011,ISO New England,Vermont,NPCC,,,vandalism,0.016666666666666666,Vermont,Physical Attack
Vandalism,2011,7/5/2011,PacifiCorp,Utah,WECC,0,0,vandalism,0.95,Utah,Physical Attack
Severe Weather,2011,7/4/2011,Dominion Virginia Power,Virginia,SERC,150,"51,580",severe weather,3.0,Virginia,Severe Weather
Severe Weather,2011,7/2/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,UNK,"182,000",severe weather,97.75,Michigan,Severe Weather
Vandalism,2011,7/1/2011,Dayton Power & Light,Ohio,RFC,,0,vandalism,6.0,Ohio,Physical Attack
Severe Weather,2011,7/1/2011,Xcel Energy Northern States Power Company,Minnesota,MRO,UNK,"70,000",severe weather,51.0,Minnesota,Severe Weather
Vandalism,2011,7/1/2011,ISO New England,Connecticut,NPCC,0,0,vandalism,0.016666666666666666,Connecticut,Physical Attack
Major System Interruption/Load Shed,2011,6/30/2011,Salt River Project,Arizona,WECC,"5,299","160,000",load shedding,9.233333333333333,Arizona,Load Shedding
Vandalism,2011,6/30/2011,Tacoma Power (TPWR),Washington,WECC,0,0,vandalism,0.0,Washington,Physical Attack
Severe Weather,2011,6/30/2011,Exelon Corporation/ComEd,Illinois,RFC,UNK,"121,000",severe weather,18.5,Illinois,Severe Weather
Public Appeal to Reduce Electricity Usage,2011,6/29/2011,Southwestern Public Service,Texas,SPP,0,0,public appeal,6.566666666666666,Texas,Public Appeal
Public Appeal to Reduce Electricity Usage,2011,6/27/2011,ERCOT ISO,Texas,TRE,0,0,public appeal,4.0,Texas,Public Appeal
Vandalism,2011,6/27/2011,City of Tacoma (TPWR),Washington,WECC,UNK,UNK,vandalism,0.0,Washington,Physical Attack
Severe Thunderstorms,2011,6/27/2011,AMEREN,Missouri,SERC,UNK,"80,000","severe weather, thunderstorm",37.0,Missouri,Severe Weather
Severe Thunderstorms,2011,6/26/2011,Southern Company,Georgia,SERC,300,"90,160","severe weather, thunderstorm",19.0,Georgia,Severe Weather
Public Appeal to Reduce Electricity Usage,2011,6/26/2011,Sunflower Electric Power Corporation,Kansas,SPP,UNK,UNK,public appeal,15.216666666666667,Kansas,Public Appeal
Severe Thunderstorms,2011,6/24/2011,Southern Company,Georgia,SERC,340,"102,275","severe weather, thunderstorm",7.0,Georgia,Severe Weather
Vandalism,2011,6/23/2011,ISO New England/Velco,Vermont,NPCC,0,0,vandalism,0.8333333333333334,Vermont,Physical Attack
Vandalism,2011,6/22/2011,Tacoma Power (TPWR),Washington,WECC,0,0,vandalism,0.0,Washington,Physical Attack
Severe Weather,2011,6/22/2011,Tennessee Valley Authority (TVA),Tennessee,SERC,UNK,"106,300",severe weather,0.0,Tennessee,Severe Weather
Severe Thunderstorms,2011,6/22/2011,Southern Company,Georgia,SERC,316,"75,101","severe weather, thunderstorm",6.0,Georgia,Severe Weather
Severe Thunderstorms,2011,6/21/2011,Exelon Corporation/ComEd,Illinois,RFC,UNK,"300,000","severe weather, thunderstorm",28.25,Illinois,Severe Weather
Vandalism,2011,6/20/2011,Tacoma Power (TPWR),Washington,WECC,0,0,vandalism,0.0,Washington,Physical Attack
Public Appeal to Reduce Electricity Usage,2011,6/18/2011,West Memphis Utilities,Arkansas,SPP,UNK,UNK,public appeal,55.233333333333334,Arkansas,Public Appeal
Severe Thunderstorms,2011,6/18/2011,Southern Company,Georgia,SERC,312,"93,828","severe weather, thunderstorm",24.2,Georgia,Severe Weather
Vandalism,2011,6/15/2011,PacifiCorp,Idaho,WECC,,,vandalism,14.5,Idaho,Physical Attack
Severe Thunderstorms,2011,6/15/2011,Southern Company,Georgia,SERC,563,"169,000","severe weather, thunderstorm",10.75,Georgia,Severe Weather
Severe Thunderstorms,2011,6/12/2011,Dominion Virginia Power,Virginia,RFC,250,"56,000","severe weather, thunderstorm",1.5,Virginia,Severe Weather
Suspected Physical Attack,2011,6/9/2011,Southern California Edison (SCE),California,WECC,0,0,"vandalism, physical",0.0,California,Physical Attack
Severe Thunderstorms,2011,6/9/2011,ISO New England/Northeast Utilities,Connecticut,NPCC,0,"100,000","severe weather, thunderstorm",18.15,Connecticut,Severe Weather
Severe Thunderstorms,2011,6/9/2011,Exelon Corporation/ComEd,Illinois,RFC,UNK,"169,000","severe weather, thunderstorm",7.5,Illinois,Severe Weather
Vandalism,2011,6/8/2011,Tacoma Power (TPWR),Washington,WECC,,,vandalism,0.0,Washington,Physical Attack
Severe Weather,2011,6/7/2011,American Electric Power,Ohio,RFC,UNK,"52,747",severe weather,16.0,Ohio,Severe Weather
Public Appeal to Reduce Electricity Usage,2011,6/6/2011,West Memphis Utilities,Arkansas,SPP,UNK,"13,000",public appeal,48.0,Arkansas,Public Appeal
Electrical System Separation (Islanding),2011,6/5/2011,Pacific Gas and Electric,California,WECC,10,"5,314",islanding,0.8833333333333333,California,Electrical System Issues
Severe Thunderstorms,2011,6/5/2011,CenterPoint Energy,Texas,TRE,473,"78,000","severe weather, thunderstorm",20.0,Texas,Severe Weather
Vandalism,2011,6/4/2011,Pacific Gas and Electric,California,WECC,UNK,420,vandalism,2.1333333333333333,California,Physical Attack
Severe Weather,2011,5/29/2011,Consumers Energy,Michigan,RFC,250,"113,000",severe weather,51.5,Michigan,Severe Weather
Severe Weather,2011,5/26/2011,PPL Electric Utilities,Pennsylvania,RFC,150,"120,001",severe weather,22.066666666666666,Pennsylvania,Severe Weather
Transmission Level Interruption,2011,5/26/2011,Greenwood Utilities Commission,Mississippi,SERC,30,"10,000",transmission interruption,5.0,Mississippi,Transmission and Distribution Issues
Severe Weather,2011,5/26/2011,Southern Company,Georgia,SERC,729,"218,783",severe weather,34.233333333333334,Georgia,Severe Weather
Severe Weather,2011,5/25/2011,Duke Energy Midwest,Indiana,RFC,200,"141,000",severe weather,60.766666666666666,Indiana,Severe Weather
Severe Weather,2011,5/24/2011,Oklahoma Gas & Electric,Oklahoma,SPP,UNK,"54,000",severe weather,48.25,Oklahoma,Severe Weather
Severe Weather,2011,5/24/2011,Dominion Virginia Power,Virginia,SERC,790,"175,000",severe weather,20.083333333333332,Virginia,Severe Weather
Physical Attack,2011,5/24/2011,Edison Mission Generation (Fisk Station),Illinois,RFC,0,0,"vandalism, physical",24.166666666666668,Illinois,Physical Attack
Severe Weather,2011,5/23/2011,Duke Energy Midwest,Indiana,RFC,"1,024","215,387",severe weather,55.233333333333334,Indiana,Severe Weather
Severe Weather,2011,5/23/2011,Ameren,Missouri,SERC,UNK,"70,000",severe weather,48.0,Missouri,Severe Weather
Severe Weather,2011,5/22/2011,Empire District Electric,Missouri,SPP,200,"20,000",severe weather,210.86666666666667,Missouri,Severe Weather
Physical Attack,2011,5/21/2011,"Terra-Gen Dixie Valley, LLC",Nevada,WECC,56,UNK,"vandalism, physical",25.566666666666666,Nevada,Physical Attack
Vandalism,2011,5/13/2011,PacifiCorp,Utah,WECC,0,0,vandalism,0.0,Utah,Physical Attack
Vandalism,2011,5/11/2011,Minnesota Power,Minnesota,MRO,0,0,vandalism,22.033333333333335,Minnesota,Physical Attack
Vandalism,2011,5/11/2011,PacifiCorp,Wyoming,WECC,0,0,vandalism,0.0,Wyoming,Physical Attack
Severe Weather,2011,5/10/2011,American Electric Power,Virginia,RFC,UNK,"58,000",severe weather,16.066666666666666,Virginia,Severe Weather
Generation Inadequacy; Load Shed; Electrical System Separation (Islanding),2011,5/10/2011,Midwest Independent System Operator (MISO),Michigan,RFC,585,"78,213","load shedding, islanding",34.75,Michigan,Load Shedding
Suspected Physical Attack,2011,5/9/2011,"Exelon Generation Company, LLC",Pennsylvania,RFC,630,UNK,"vandalism, physical",2.533333333333333,Pennsylvania,Physical Attack
Vandalism,2011,5/6/2011,PacifiCorp,Oregon,WECC,0,0,vandalism,3.566666666666667,Oregon,Physical Attack
Suspected Sabotage,2011,5/4/2011,"ITC Holdings, Inc.",Michigan,RFC,0,0,vandalism,3.3333333333333335,Michigan,Physical Attack
Suspected Physical Attack,2011,5/4/2011,FirstEnergy Generation,Maryland,RFC,0,0,"vandalism, physical",0.2833333333333333,Maryland,Physical Attack
Severe Weather,2011,5/2/2011,Hawaiian Electric Company,Hawaii,PR,220,"62,000",severe weather,2.9,Hawaii,Severe Weather
Suspected Physical Attack,2011,5/2/2011,The United Illuminating Company,Connecticut,NPCC,0,0,"vandalism, physical",0.0,Connecticut,Physical Attack
Vandalism,2011,5/2/2011,PacifiCorp,Utah,WECC,0,0,vandalism,1.9,Utah,Physical Attack
Severe Weather,2011,4/28/2011,FirstEnergy Service Company,Ohio,RFC,UNK,"86,000",severe weather,61.5,Ohio,Severe Weather
Equipment Malfunction,2011,4/28/2011,"Mesquite Power, LLC",Arizona,WECC,960,UNK,equipment failure,0.016666666666666666,Arizona,Equipment Failures
Severe Weather,2011,4/27/2011,Tennessee Valley Authority,Tennessee,SERC,UNK,"612,000",severe weather,54.483333333333334,Tennessee,Severe Weather
Severe Weather,2011,4/27/2011,Southern Company,Mississippi,SERC,"1,422","426,640",severe weather,128.05,Mississippi,Severe Weather
Severe Weather,2011,4/27/2011,American Electric Power,Virginia,SERC,0,"69,000",severe weather,12.0,Virginia,Severe Weather
Severe Weather,2011,4/26/2011,West Memphis Utilities,Arkansas,SPP,50,"13,000",severe weather,46.766666666666666,Arkansas,Severe Weather
Vandalism,2011,4/26/2011,PacifiCorp,Utah,WECC,0,0,vandalism,0.9333333333333333,Utah,Physical Attack
Severe Weather,2011,4/26/2011,Entergy Corporation,Louisiana,SPP,120,UNK,severe weather,28.166666666666668,Louisiana,Severe Weather
Severe Weather,2011,4/26/2011,Tennessee Valley Authority,Tennessee,SERC,UNK,"55,000",severe weather,48.0,Tennessee,Severe Weather
Severe Weather,2011,4/25/2011,Entergy Corporation,Mississippi,SPP,UNK,"141,700",severe weather,48.5,Mississippi,Severe Weather
Equipment Malfunction,2011,4/25/2011,Tennessee Valley Authority,Tennessee,SERC,140,UNK,equipment failure,0.7666666666666667,Tennessee,Equipment Failures
Severe Weather,2011,4/22/2011,Ameren,Missouri,SERC,0,"55,000",severe weather,2.0,Missouri,Severe Weather
Suspicious Activity,2011,4/21/2011,ITC Holdings,Michigan,RFC,UNK,UNK,vandalism,192.08333333333334,Michigan,Other
Vandalism,2011,4/21/2011,PacifiCorp,Utah,WECC,0,0,vandalism,9.583333333333334,Utah,Physical Attack
Severe Weather - High Winds,2011,4/20/2011,Duke Energy Midwest,Ohio,RFC,UNK,"165,711","severe weather, wind",34.0,Ohio,Severe Weather
Equipment Malfunction,2011,4/20/2011,City of Ruston & Constellation Energy,Louisiana,SERC,33,"11,000",equipment failure,0.11666666666666667,Louisiana,Equipment Failures
Severe Weather,2011,4/19/2011,Ameren Illinois,Illinois,SERC,UNK,"80,000",severe weather,2.0,Illinois,Severe Weather
Severe Weather,2011,4/19/2011,Constellation Energy Control and Dispatch,Arkansas,SERC,22,UNK,severe weather,20.016666666666666,Arkansas,Severe Weather
Severe Weather,2011,4/19/2011,Tennessee Valley Authority,Tennessee,SERC,300,"105,000",severe weather,42.5,Tennessee,Severe Weather
Vandalism,2011,4/19/2011,Tacoma Power Water Rail (TPWR),Washington,WECC,0,0,vandalism,2.05,Washington,Physical Attack
Severe Weather,2011,4/19/2011,Memphis Light Gas and Water Division,Tennessee,SERC,100,"64,000",severe weather,3.2666666666666666,Tennessee,Severe Weather
Suspicious Activity,2011,4/11/2011,PacifiCorp,Utah,WECC,0,0,vandalism,0.18333333333333332,Utah,Other
Vandalism,2011,4/6/2011,Delmarva Power & Light Company,Delaware,RFC,0,0,vandalism,0.0,Delaware,Physical Attack
Severe Weather,2011,4/4/2011,Southern Company,Mississippi,SERC,674,"303,434",severe weather,26.5,Mississippi,Severe Weather
Severe Weather,2011,4/4/2011,Entergy Corporation,Texas,SERC,UNK,"74,645",severe weather,25.0,Texas,Severe Weather
Severe Weather,2011,4/4/2011,American Electric Power (AEP),Virginia,RFC,UNK,"52,920",severe weather,17.0,Virginia,Severe Weather
Severe Weather,2011,4/4/2011,Tennessee Valley Authority,Tennessee,SERC,300,"73,000",severe weather,94.01666666666667,Tennessee,Severe Weather
Severe Weather,2011,4/4/2011,Tennessee Valley Authority,Tennessee,SERC,359,"63,000",severe weather,96.23333333333333,Tennessee,Severe Weather
Severe Weather,2011,4/4/2011,Memphis Light Gas and Water Division,Tennessee,SERC,300,"63,000",severe weather,23.0,Tennessee,Severe Weather
Severe Weather,2011,3/31/2011,Progress Energy Florida (PEF),Florida,FRCC,UNK,"50,000",severe weather,33.483333333333334,Florida,Severe Weather
Severe Weather,2011,3/31/2011,Tampa Electric Company,Florida,FRCC,206,"87,000",severe weather,9.0,Florida,Severe Weather
Transmission Level Outage,2011,3/27/2011,Pacific Gas and Electric,California,WECC,295,"165,000",transmission interruption,3.55,California,Transmission and Distribution Issues
Major Storm,2011,3/23/2011,American Electric Power - AEP,Virginia,RFC,UNK,"60,596","severe weather, storm",10.416666666666666,Virginia,Severe Weather
Major Storm,2011,3/21/2011,Southern California Edison Company (SCE),California,WECC,150,"54,332","severe weather, storm",2.1666666666666665,California,Severe Weather
Major Storm,2011,3/20/2011,Los Angeles Department of Water and Power,California,WECC,UNK,"79,000","severe weather, storm",24.266666666666666,California,Severe Weather
Major Storm,2011,3/19/2011,Pacific Gas and Electric,California,WECC,91,"128,000","severe weather, storm",115.23333333333333,California,Severe Weather
Vandalism,2011,3/18/2011,Dayton Power & Light,Ohio,RFC,,,vandalism,5.666666666666667,Ohio,Physical Attack
Suspected Physical Attack,2011,3/15/2011,"Entergy Services, Incorporated",Texas,TRE,,,"vandalism, physical",1.2333333333333334,Texas,Physical Attack
Suspected Cyber Attack,2011,3/14/2011,Baltimore Gas & Electric,Maryland,RFC,,,"vandalism, cyber",9.416666666666666,Maryland,Cyber Events
Severe Weather,2011,3/13/2011,PacifiCorp,Oregon,WECC,UNK,"9,000",severe weather,25.433333333333334,Oregon,Severe Weather
Generation Inadequacy/Load Shed,2011,3/11/2011,Pacific Gas and Electric,California,WECC,15,"6,800",load shedding,2.216666666666667,California,Load Shedding
Suspected Physical Attack,2011,3/10/2011,ERCOT ISO,Texas,TRE,,,"vandalism, physical",17.95,Texas,Physical Attack
Vandalism,2011,3/6/2011,PacifiCorp,Utah,WECC,UNK,0,vandalism,53.1,Utah,Physical Attack
Severe Weather,2011,2/25/2011,Baltimore Gas & Electric,Maryland,RFC,UNK,93000,severe weather,50.61666666666667,Maryland,Severe Weather
Severe Weather,2011,2/25/2011,Dominion - Virginia Power,Virginia,SERC,UNK,50000,severe weather,2.6666666666666665,Virginia,Severe Weather
Winter Storm,2011,2/25/2011,Pacific Gas and Electric,California,WECC,91,"80,000","severe weather, winter storm",81.5,California,Severe Weather
Vandalism,2011,2/25/2011,PacifiCorp,Utah,WECC,0,0,vandalism,0.25,Utah,Physical Attack
Electrical System Separation (Islanding),2011,2/24/2011,American Electric Power (CSWS-SPP),Arkansas,SPP,4,UNK,islanding,0.05,Arkansas,Electrical System Issues
Winter Storm,2011,2/20/2011,Consumers Energy,Michigan,RFC,262,"160,000","severe weather, winter storm",72.0,Michigan,Severe Weather
Vandalism,2011,2/19/2011,Delmarva Power & Light Company,Delaware,RFC,0,0,vandalism,0.0,Delaware,Physical Attack
Major Storm,2011,2/19/2011,Exelon Corporation/PECO,Pennsylvania,RFC,UNK,118000,"severe weather, storm",15.5,Pennsylvania,Severe Weather
Suspected Cyber Attack,2011,2/17/2011,City of Roseville (Roseville Electric),California,WECC,0,0,"vandalism, cyber",147.88333333333333,California,Cyber Events
Major Storm,2011,2/17/2011,Pacific Gas and Electric,California,WECC,91,"80,000","severe weather, storm",56.8,California,Severe Weather
Vandalism,2011,2/10/2011,Tacoma Power - TPWR,Washington,WECC,0,0,vandalism,0.0,Washington,Physical Attack
Vandalism,2011,2/9/2011,Tacoma Power - TPWR,Washington,WECC,0,0,vandalism,2.1,Washington,Physical Attack
Cold Weather Event,2011,2/9/2011,ERCOT ISO,Texas,TRE,,,"severe weather, cold",20.05,Texas,Severe Weather
Winter Storm,2011,2/9/2011,CenterPoint Energy,Texas,TRE,399,"60,000","severe weather, winter storm",5.45,Texas,Severe Weather
Suspected Cyber Attack,2011,2/3/2011,Potomac Electric Power Co/PEPCO Holdings Inc.,Maryland,RFC,,0,"vandalism, cyber",0.0,Maryland,Cyber Events
Generation Inadequacy/Load Shed,2011,2/3/2011,ERCOT ISO,Texas,TRE,400,"86,013",load shedding,14.466666666666667,Texas,Load Shedding
Fuel Supply Deficiency (Natural Gas),2011,2/3/2011,San Diego Gas and Electric Company,California,WECC,,UNK,"fuel supply emergency, natural gas",21.0,California,Fuel Supply Emergency
